token,date,amount
imBTC,12/24/2019,-1069705
imBTC,12/25/2019,-5310294
imBTC,12/25/2019,400000000
imBTC,12/25/2019,400000000
imBTC,12/26/2019,-4000000
imBTC,12/26/2019,300000000
imBTC,12/27/2019,200000000
imBTC,12/27/2019,200000000
imBTC,12/27/2019,200000000
imBTC,12/28/2019,1000000000
imBTC,12/28/2019,1000000000
imBTC,12/28/2019,1000000000
imBTC,12/28/2019,1000000000
imBTC,12/28/2019,999700000
imBTC,12/28/2019,1000000000
imBTC,12/29/2019,1000000000
imBTC,12/29/2019,-2115845
imBTC,12/29/2019,-65655021
imBTC,12/30/2019,-3391309
imBTC,12/31/2019,-9000000
imBTC,1/3/2020,-704678233
imBTC,1/3/2020,1000000000
imBTC,1/3/2020,1000000000
imBTC,1/3/2020,300000000
imBTC,1/3/2020,1000000000
imBTC,1/3/2020,1000000000
imBTC,1/3/2020,1135031
imBTC,1/3/2020,1930000
imBTC,1/3/2020,40000000
imBTC,1/3/2020,-90000000
imBTC,1/3/2020,-404500000
imBTC,1/4/2020,-20025877
imBTC,1/4/2020,83883305
imBTC,1/5/2020,-500651297
imBTC,1/5/2020,672490000
imBTC,1/5/2020,10000000
imBTC,1/5/2020,-9809730
imBTC,1/5/2020,100000000
imBTC,1/5/2020,5000000
imBTC,1/5/2020,8055800
imBTC,1/6/2020,50020000
imBTC,1/6/2020,-9822057
imBTC,1/6/2020,5000000
imBTC,1/6/2020,-10017557
imBTC,1/6/2020,200000000
imBTC,1/6/2020,-2078730
imBTC,1/7/2020,200000000
imBTC,1/7/2020,49990000
imBTC,1/7/2020,25000000
imBTC,1/7/2020,200000000
imBTC,1/7/2020,3800000000
imBTC,1/7/2020,400000000
imBTC,1/7/2020,2000000
imBTC,1/7/2020,8000000
imBTC,1/7/2020,23383962
imBTC,1/7/2020,-100000000
imBTC,1/7/2020,-100000000
imBTC,1/7/2020,-100000000
imBTC,1/7/2020,-63855071
imBTC,1/8/2020,50000000
imBTC,1/8/2020,-26277798
imBTC,1/8/2020,-90000000
imBTC,1/8/2020,2000000000
imBTC,1/8/2020,10000000
imBTC,1/8/2020,5000000
imBTC,1/8/2020,70000000
imBTC,1/9/2020,281915439
imBTC,1/9/2020,-53000000
imBTC,1/9/2020,100000000
imBTC,1/9/2020,10000000
imBTC,1/9/2020,100000000
imBTC,1/9/2020,49935000
imBTC,1/9/2020,100000000
imBTC,1/9/2020,-1656945
imBTC,1/9/2020,100000000
imBTC,1/9/2020,-3777036
imBTC,1/9/2020,10670516
imBTC,1/9/2020,-3431292
imBTC,1/10/2020,-10205579
imBTC,1/10/2020,-6193460
imBTC,1/10/2020,-1827816
imBTC,1/10/2020,200000000
imBTC,1/10/2020,-97398044
imBTC,1/11/2020,1343056
imBTC,1/11/2020,200000000
imBTC,1/11/2020,-12000000
imBTC,1/11/2020,-1000000
imBTC,1/11/2020,-1000000
imBTC,1/11/2020,200000000
imBTC,1/12/2020,-49340193
imBTC,1/12/2020,-1738874
imBTC,1/12/2020,-90206904
imBTC,1/12/2020,-99000000
imBTC,1/12/2020,-99000000
imBTC,1/12/2020,-43539402
imBTC,1/12/2020,300000000
imBTC,1/12/2020,-97211488
imBTC,1/12/2020,-99000000
imBTC,1/12/2020,-51238287
imBTC,1/12/2020,-15960850
