token,date,amount
imBTC,4/7/2020,627288691
imBTC,4/8/2020,-1584984
imBTC,4/9/2020,956095819
imBTC,4/10/2020,637983098
imBTC,4/11/2020,248363669
imBTC,4/12/2020,588223550
imBTC,4/13/2020,1585226524
imBTC,4/14/2020,60994346
imBTC,4/15/2020,-1147011345
imBTC,4/16/2020,1024885351
imBTC,4/17/2020,200740447
imBTC,4/18/2020,-2875409022
imBTC,4/19/2020,-2970000000
imBTC,4/22/2020,-4456884873
imBTC,4/23/2020,-238293181
imBTC,4/24/2020,1652235
imBTC,4/25/2020,150334572
imBTC,4/26/2020,-1751708247
imBTC,4/27/2020,-1964828779
imBTC,4/28/2020,-3417135561
imBTC,4/29/2020,-2887812172
imBTC,4/30/2020,-487093328
imBTC,5/1/2020,-900820909
imBTC,5/3/2020,-2825014840
imBTC,5/4/2020,-2090210640
imBTC,5/5/2020,1323893548
imBTC,5/6/2020,971622850
imBTC,5/7/2020,881948648
imBTC,5/8/2020,159020147
imBTC,5/9/2020,-2641228853
imBTC,5/10/2020,240760000
imBTC,5/11/2020,-4363064369
imBTC,5/12/2020,562250000
imBTC,5/13/2020,-107964176
imBTC,5/14/2020,835943554
imBTC,5/15/2020,99966100
imBTC,5/16/2020,1039910000
imBTC,5/17/2020,-469992488
imBTC,5/18/2020,-404505142
imBTC,5/19/2020,399950000
imBTC,5/20/2020,-170773894
imBTC,5/21/2020,1498923296
imBTC,5/22/2020,121577612
imBTC,5/23/2020,-3328084747
imBTC,5/24/2020,200000000
imBTC,5/25/2020,1060753027
imBTC,5/26/2020,-596858664
imBTC,5/27/2020,16099629
imBTC,5/28/2020,57830000
imBTC,5/29/2020,511599676
imBTC,5/30/2020,410590730
imBTC,5/31/2020,-200000000
imBTC,6/1/2020,-45569628
imBTC,6/2/2020,-1506993903
imBTC,6/3/2020,190624263
imBTC,6/4/2020,-1000211
imBTC,6/5/2020,200892316
imBTC,6/6/2020,828495434
imBTC,6/7/2020,276490890
imBTC,6/8/2020,-246678613
imBTC,6/9/2020,4492417839
imBTC,6/10/2020,298204298
imBTC,6/11/2020,55009366
imBTC,6/12/2020,206000000
imBTC,6/13/2020,0
imBTC,6/14/2020,695601789
imBTC,6/15/2020,2807808902
imBTC,6/16/2020,-72416470
imBTC,6/17/2020,1238057882
imBTC,6/18/2020,1869275392
imBTC,6/19/2020,151947163
imBTC,6/20/2020,-3138307180
imBTC,6/21/2020,2657697158
imBTC,6/22/2020,-1387684522
imBTC,6/23/2020,-513767910
imBTC,6/24/2020,-1035203497
imBTC,6/25/2020,3977323015
imBTC,6/26/2020,2388572107
imBTC,6/27/2020,-588744678
imBTC,6/28/2020,620538363
imBTC,6/29/2020,-1599000000
imBTC,6/30/2020,80611532
imBTC,7/1/2020,-791863212
imBTC,7/2/2020,149871857
imBTC,7/3/2020,1240958547
imBTC,7/4/2020,537016081
imBTC,7/5/2020,2562077286
imBTC,7/6/2020,-582126737
imBTC,7/7/2020,75288805
imBTC,7/8/2020,-67893580
imBTC,7/9/2020,-1670837252
imBTC,7/10/2020,734745979
imBTC,7/11/2020,1317715920
imBTC,7/12/2020,3888703488
imBTC,7/13/2020,-595724410
imBTC,7/14/2020,-505000000
imBTC,7/15/2020,-3028572376
imBTC,7/16/2020,1298808805
imBTC,7/17/2020,-95173391
imBTC,7/18/2020,-1287119319
imBTC,7/19/2020,-1274930344
imBTC,7/20/2020,-364199357
imBTC,7/21/2020,-1197168200
imBTC,7/22/2020,-2298555018
imBTC,7/23/2020,268164374
imBTC,7/24/2020,3220718683
imBTC,7/25/2020,1761521986
imBTC,7/26/2020,12055110159
imBTC,7/27/2020,3467492795
imBTC,7/28/2020,2127618869
imBTC,7/29/2020,3398274267
imBTC,7/30/2020,4658220687
imBTC,7/31/2020,419027566
imBTC,8/1/2020,311699188
imBTC,8/2/2020,206604739
imBTC,8/3/2020,723603248
imBTC,8/4/2020,-39951919
imBTC,8/5/2020,-353381047
imBTC,8/6/2020,-299211515
imBTC,8/7/2020,-343840521
imBTC,8/8/2020,303363001
imBTC,8/9/2020,-999248982
imBTC,8/10/2020,712866000
imBTC,8/11/2020,4972223664
imBTC,8/12/2020,4632632585
imBTC,8/13/2020,2294279513
imBTC,8/14/2020,-2633619368
imBTC,8/15/2020,1323205640
imBTC,8/16/2020,-3233472251
imBTC,8/17/2020,-1090898000
imBTC,8/18/2020,583912504
imBTC,8/19/2020,3960614839
imBTC,8/20/2020,218687833
imBTC,8/21/2020,6917694488
imBTC,8/22/2020,690755537
imBTC,8/23/2020,1586264340
imBTC,8/24/2020,615041094
imBTC,8/25/2020,1936603110
imBTC,8/26/2020,29173941
imBTC,8/27/2020,1157441218
imBTC,8/28/2020,122869035
imBTC,8/29/2020,4401690920
imBTC,8/30/2020,-36762890524
imBTC,8/31/2020,51082068196
imBTC,9/1/2020,-36770276187
imBTC,9/2/2020,10174653443
imBTC,9/3/2020,3026816360
imBTC,9/4/2020,17340208401
imBTC,9/5/2020,-27442230565
imBTC,9/6/2020,18297247868
imBTC,9/7/2020,15616465081
imBTC,9/8/2020,13558505690
imBTC,9/9/2020,9035499757
imBTC,9/10/2020,-39729411957
imBTC,9/11/2020,24982742396
imBTC,9/12/2020,13486281917
imBTC,9/13/2020,-54366862387
imBTC,9/14/2020,-9990895011
imBTC,9/15/2020,56036599779
pBTC,3/4/2020,737153100000000000
pBTC,3/5/2020,1921899999999950000
pBTC,3/6/2020,331991540000050002
pBTC,3/7/2020,503318700000000000
pBTC,3/8/2020,22670000000000000
pBTC,3/9/2020,1520375669999999900
pBTC,3/10/2020,-105226926708643939
pBTC,3/11/2020,46817080000000000
pBTC,3/12/2020,540561112241481200
pBTC,3/13/2020,219405893086196501
pBTC,3/14/2020,-277442708931870400
pBTC,3/16/2020,-379659474661463900
pBTC,3/17/2020,-785012409273126800
pBTC,3/18/2020,-168869755285881160
pBTC,3/19/2020,668504376275846523
pBTC,3/20/2020,-34010838712105265
pBTC,3/21/2020,250000000000000000
pBTC,3/22/2020,-216191510915297200
pBTC,3/23/2020,-42185229465418917
pBTC,3/24/2020,278264809431137284
pBTC,3/25/2020,159981140000000000
pBTC,3/26/2020,-169713875831975792
pBTC,3/27/2020,323783000000000000
pBTC,3/28/2020,-203716275710241934
pBTC,3/29/2020,-65359361434704385
pBTC,3/30/2020,-240072778700000000
pBTC,3/31/2020,198659780000000000
pBTC,4/1/2020,-277681681100000000
pBTC,4/2/2020,2776536660000000000
pBTC,4/3/2020,289099668360911824
pBTC,4/5/2020,5950000000000
pBTC,4/7/2020,-962822893131412817
pBTC,4/8/2020,766708326065052305
pBTC,4/9/2020,10001280290000000000
pBTC,4/10/2020,-404526200000000000
pBTC,4/11/2020,-502783360000000000
pBTC,4/12/2020,-243497449012636116
pBTC,4/13/2020,357922100000000000
pBTC,4/14/2020,67790202533028827
pBTC,4/15/2020,-230330929613421962
pBTC,4/17/2020,2468026269112999025
pBTC,4/19/2020,-200758920000000000
pBTC,4/20/2020,-12000000000000008
pBTC,4/21/2020,-742187536659638657
pBTC,4/22/2020,-8657520000000000
pBTC,4/23/2020,-2493800000000000
pBTC,4/24/2020,555924551673775052
pBTC,4/27/2020,1163872300000000000
pBTC,4/28/2020,-351233309157481747
pBTC,4/29/2020,-632553995242729614
pBTC,4/30/2020,-153268222977668732
pBTC,5/1/2020,379510160000000000
pBTC,5/2/2020,1177087480000000000
pBTC,5/3/2020,65565100000000000
pBTC,5/4/2020,320477690000000000
pBTC,5/5/2020,-351636239809197464
pBTC,5/6/2020,450013530000000000
pBTC,5/7/2020,-66308787501513889
pBTC,5/8/2020,1648780970000000000
pBTC,5/9/2020,117258090000000000
pBTC,5/10/2020,78668680000000000
pBTC,5/11/2020,587317630000000000
pBTC,5/12/2020,1614977890000000000
pBTC,5/13/2020,46740320150700502
pBTC,5/14/2020,-80388951217578504
pBTC,5/15/2020,220533467248014870
pBTC,5/16/2020,1000000000000000
pBTC,5/17/2020,186681710000000000
pBTC,5/18/2020,-146980000000000
pBTC,5/19/2020,633899489269377128
pBTC,5/20/2020,28846566063191482
pBTC,5/21/2020,-725605244004095191
pBTC,5/22/2020,221618851788653404
pBTC,5/23/2020,957317009173166845
pBTC,5/24/2020,391735796500000000
pBTC,5/25/2020,34286172198049668
pBTC,5/26/2020,-2401400853746721
pBTC,5/27/2020,-257647372513442232
pBTC,5/28/2020,851089413037607832
pBTC,5/29/2020,156546539408388262
pBTC,5/30/2020,-62790552683700362
pBTC,5/31/2020,121530607279695693
pBTC,6/1/2020,1656037663369563049
pBTC,6/2/2020,725968944557231014
pBTC,6/3/2020,-79878884066384994
pBTC,6/4/2020,74850800343090608
pBTC,6/5/2020,1041548515161682024
pBTC,6/6/2020,55324170000000000
pBTC,6/7/2020,98358082724229543
pBTC,6/8/2020,-1072017196394079943
pBTC,6/9/2020,4291209230793510913
pBTC,6/10/2020,301836030000000000
pBTC,6/11/2020,-211243831720271726
pBTC,6/12/2020,-1332034330000843993
pBTC,6/13/2020,-200000000000000000
pBTC,6/14/2020,-63247957621421132
pBTC,6/15/2020,-378120385917730947
pBTC,6/16/2020,-928597692159273612
pBTC,6/18/2020,-1300724631706826929
pBTC,6/19/2020,-1124622761743145976
pBTC,6/20/2020,-27897869283199937
pBTC,6/21/2020,100000000000000000
pBTC,6/22/2020,617639167677557351
pBTC,6/23/2020,-1577765596175835812
pBTC,6/24/2020,2170791283787535250
pBTC,6/25/2020,7824721540000000000
pBTC,6/26/2020,29868030000000000
pBTC,6/27/2020,-14774090000000000
pBTC,6/28/2020,20000000000000000
pBTC,6/30/2020,862274880000000000
pBTC,7/1/2020,348170336731047960
pBTC,7/2/2020,361488403523141814
pBTC,7/3/2020,520069500000000000
pBTC,7/4/2020,425246920000000000
pBTC,7/5/2020,13350444656915451860
pBTC,7/6/2020,272474644737117210
pBTC,7/7/2020,-593876410000000000
pBTC,7/8/2020,-1204691592447994501
pBTC,7/9/2020,1032169140000000000
pBTC,7/10/2020,261021730000000000
pBTC,7/11/2020,809390000000000000
pBTC,7/12/2020,685689178167339641
pBTC,7/13/2020,-791320460000000000
pBTC,7/14/2020,12940684840681353381
pBTC,7/15/2020,5000000000000000
pBTC,7/16/2020,-7901030000000000
pBTC,7/17/2020,1010420360000000000
pBTC,7/18/2020,-995900000000000000
pBTC,7/19/2020,-26290441830000000000
pBTC,7/20/2020,-179245563818371492
pBTC,7/22/2020,-351257890113047966
pBTC,7/23/2020,302340000000000000
pBTC,7/24/2020,283850000000000000
pBTC,7/25/2020,-439660909721260999
pBTC,7/26/2020,123408766926566787
pBTC,7/27/2020,6724025244468101116
pBTC,7/28/2020,-393790969077100000
pBTC,7/29/2020,219644250000000000
pBTC,7/30/2020,6352000000000000000
pBTC,7/31/2020,-4232779806375768884
pBTC,8/1/2020,-477150000000000000
pBTC,8/2/2020,-1684688095434830997
pBTC,8/3/2020,-256741947523483331
pBTC,8/4/2020,-679000000000000000
pBTC,8/5/2020,-519550000000000020
pBTC,8/6/2020,3297055670451965800
pBTC,8/7/2020,-306976810000000000
pBTC,8/8/2020,180000000000000000
pBTC,8/9/2020,2491400000000000000
pBTC,8/10/2020,-979459877315950000
pBTC,8/11/2020,37143459838535330
pBTC,8/12/2020,-5043350000000000
pBTC,8/14/2020,-1232914410000000000
pBTC,8/15/2020,-1779012540471026937
pBTC,8/16/2020,644966490347111475
pBTC,8/17/2020,-336310987858786980
pBTC,8/18/2020,-8000000000000000
pBTC,8/19/2020,1000000000000000
pBTC,8/20/2020,-357085176045095582
