token,date,amount
imBTC,12/9/2019,3
imBTC,12/9/2019,-0.02001401
imBTC,12/9/2019,-2.39558009
imBTC,12/9/2019,0.3053856
imBTC,12/11/2019,3
imBTC,12/12/2019,-9.53692385
imBTC,12/12/2019,-0.33560026
imBTC,12/13/2019,-0.02314712
imBTC,12/14/2019,3.525
imBTC,12/16/2019,-0.30488266
imBTC,12/16/2019,4
imBTC,12/18/2019,-0.01412251
imBTC,12/18/2019,-0.12616038
imBTC,12/19/2019,-0.10261748
imBTC,12/19/2019,2
imBTC,12/19/2019,-0.69735835
imBTC,12/19/2019,-1.29002588
imBTC,12/19/2019,-0.01426449
imBTC,12/19/2019,-0.01115939
imBTC,12/19/2019,-1.35129297
imBTC,12/21/2019,-0.01438202
imBTC,12/21/2019,4
imBTC,12/22/2019,-0.01796993
imBTC,12/24/2019,-0.9586864
imBTC,12/24/2019,-0.01069705
imBTC,12/25/2019,-0.05310294
imBTC,12/25/2019,4
imBTC,12/25/2019,4
imBTC,12/26/2019,-0.04
imBTC,12/26/2019,3
imBTC,12/27/2019,2
imBTC,12/27/2019,2
imBTC,12/27/2019,2
imBTC,12/28/2019,10
imBTC,12/28/2019,10
imBTC,12/28/2019,10
imBTC,12/28/2019,10
imBTC,12/28/2019,9.997
imBTC,12/28/2019,10
imBTC,12/29/2019,10
imBTC,12/29/2019,-0.02115845
imBTC,12/29/2019,-0.65655021
imBTC,12/30/2019,-0.03391309
imBTC,12/31/2019,-0.09
imBTC,1/3/2020,-7.04678233
imBTC,1/3/2020,10
imBTC,1/3/2020,10
imBTC,1/3/2020,3
imBTC,1/3/2020,10
imBTC,1/3/2020,10
imBTC,1/3/2020,0.01135031
imBTC,1/3/2020,0.0193
imBTC,1/3/2020,0.4
imBTC,1/3/2020,-0.9
imBTC,1/3/2020,-4.045
imBTC,1/4/2020,-0.20025877
imBTC,1/4/2020,0.83883305
imBTC,1/5/2020,-5.00651297
imBTC,1/5/2020,6.7249
imBTC,1/5/2020,0.1
imBTC,1/5/2020,-0.0980973
imBTC,1/5/2020,1
imBTC,1/5/2020,0.05
imBTC,1/5/2020,0.080558
imBTC,1/6/2020,0.5002
imBTC,1/6/2020,-0.09822057
imBTC,1/6/2020,0.05
imBTC,1/6/2020,-0.10017557
imBTC,1/6/2020,2
imBTC,1/6/2020,-0.0207873
imBTC,1/7/2020,2
imBTC,1/7/2020,0.4999
imBTC,1/7/2020,0.25
imBTC,1/7/2020,2
imBTC,1/7/2020,38
imBTC,1/7/2020,4
imBTC,1/7/2020,0.02
imBTC,1/7/2020,0.08
imBTC,1/7/2020,0.23383962
imBTC,1/7/2020,-1
imBTC,1/7/2020,-1
imBTC,1/7/2020,-1
imBTC,1/7/2020,-0.63855071
imBTC,1/8/2020,0.5
imBTC,1/8/2020,-0.26277798
imBTC,1/8/2020,-0.9
imBTC,1/8/2020,20
imBTC,1/8/2020,0.1
imBTC,1/8/2020,0.05
imBTC,1/8/2020,0.7
imBTC,1/9/2020,2.81915439
imBTC,1/9/2020,-0.53
imBTC,1/9/2020,1
imBTC,1/9/2020,0.1
imBTC,1/9/2020,1
imBTC,1/9/2020,0.49935
imBTC,1/9/2020,1
imBTC,1/9/2020,-0.01656945
imBTC,1/9/2020,1
imBTC,1/9/2020,-0.03777036
imBTC,1/9/2020,0.10670516
imBTC,1/9/2020,-0.03431292
imBTC,1/10/2020,-0.10205579
imBTC,1/10/2020,-0.0619346
imBTC,1/10/2020,-0.01827816
imBTC,1/10/2020,2
imBTC,1/10/2020,-0.97398044
imBTC,1/11/2020,0.01343056
imBTC,1/11/2020,2
imBTC,1/11/2020,-0.12
imBTC,1/11/2020,-0.01
imBTC,1/11/2020,-0.01
imBTC,1/11/2020,2
imBTC,1/12/2020,-0.49340193
imBTC,1/12/2020,-0.01738874
imBTC,1/12/2020,-0.90206904
imBTC,1/12/2020,-0.99
imBTC,1/12/2020,-0.99
imBTC,1/12/2020,-0.43539402
imBTC,1/12/2020,3
imBTC,1/12/2020,-0.97211488
imBTC,1/12/2020,-0.99
imBTC,1/12/2020,-0.51238287
imBTC,1/12/2020,-0.1596085
imBTC,1/12/2020,3
imBTC,1/12/2020,3
imBTC,1/12/2020,-0.89992242
imBTC,1/12/2020,-0.40567233
imBTC,1/13/2020,-0.10671655
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,4
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.46907551
imBTC,1/13/2020,0.018
imBTC,1/14/2020,0.0995
imBTC,1/14/2020,-0.0995
imBTC,1/14/2020,4.9995
imBTC,1/14/2020,0.66993771
imBTC,1/14/2020,3.9995
imBTC,1/14/2020,2
imBTC,1/15/2020,0.01318973
imBTC,1/15/2020,8.999
imBTC,1/15/2020,4.9995
imBTC,1/15/2020,4.9995
imBTC,1/15/2020,-0.30911329
imBTC,1/15/2020,0.01967707
imBTC,1/16/2020,0.8
imBTC,1/16/2020,9.9994604
imBTC,1/16/2020,-0.99
imBTC,1/16/2020,1
imBTC,1/16/2020,2
imBTC,1/16/2020,2
imBTC,1/16/2020,-0.99
imBTC,1/16/2020,-0.98
imBTC,1/16/2020,2
imBTC,1/17/2020,0.21694212
imBTC,1/17/2020,-0.99
imBTC,1/18/2020,15
imBTC,1/18/2020,0.0999676
imBTC,1/19/2020,-0.99
imBTC,1/19/2020,0.37244902
imBTC,1/19/2020,-0.998
imBTC,1/19/2020,0.0541166
imBTC,1/19/2020,0.01
imBTC,1/19/2020,0.16149939
imBTC,1/19/2020,0.03159774
imBTC,1/19/2020,0.20995135
imBTC,1/19/2020,0.29262959
imBTC,1/20/2020,-5.00327173
imBTC,1/20/2020,0.05086
imBTC,1/23/2020,1.0249748
imBTC,1/24/2020,-0.16981503
imBTC,1/25/2020,0.5
imBTC,1/26/2020,0.04225767
imBTC,1/26/2020,-0.21125942
imBTC,1/27/2020,-0.16150179
imBTC,1/28/2020,0.3
imBTC,1/28/2020,-0.01362057
imBTC,1/29/2020,-0.02167203
imBTC,1/29/2020,0.1
imBTC,1/30/2020,1.00020443
imBTC,1/30/2020,9.80151026
imBTC,1/30/2020,-0.747
imBTC,1/30/2020,-1.02499689
imBTC,1/30/2020,3.98000908
imBTC,1/30/2020,-0.1000013
imBTC,2/1/2020,0.01
imBTC,2/1/2020,6.89123283
imBTC,2/2/2020,0.04182476
imBTC,2/3/2020,0.25843488
imBTC,2/3/2020,0.10226542
imBTC,2/3/2020,1.37
imBTC,2/3/2020,-6.89131741
imBTC,2/4/2020,2
imBTC,2/4/2020,0.03639761
imBTC,2/4/2020,-0.0100578
imBTC,2/5/2020,0.21181
imBTC,2/5/2020,2
imBTC,2/6/2020,2
imBTC,2/6/2020,2
imBTC,2/7/2020,-5.20136942
imBTC,2/7/2020,-0.41626042
imBTC,2/7/2020,0.49992
imBTC,2/8/2020,2
imBTC,2/8/2020,0.5003
imBTC,2/8/2020,3
imBTC,2/9/2020,2
imBTC,2/9/2020,-0.65
imBTC,2/9/2020,2
imBTC,2/9/2020,6.9995
imBTC,2/10/2020,-0.5
imBTC,2/10/2020,2
imBTC,2/10/2020,-0.8
imBTC,2/10/2020,6.9995
imBTC,2/10/2020,2.00095392
imBTC,2/11/2020,2
imBTC,2/12/2020,-2.82115362
imBTC,2/12/2020,2
imBTC,2/12/2020,0.01
imBTC,2/12/2020,-0.21700926
imBTC,2/12/2020,0.20516877
imBTC,2/12/2020,0.17137784
imBTC,2/12/2020,-0.2655
imBTC,2/12/2020,-25.0005
imBTC,2/12/2020,-20.00007463
imBTC,2/12/2020,0.5
imBTC,2/12/2020,-2.35621189
imBTC,2/12/2020,0.01190412
imBTC,2/13/2020,0.03070194
imBTC,2/14/2020,0.03957437
imBTC,2/14/2020,10
imBTC,2/14/2020,-13.0000005
imBTC,2/14/2020,0.459
imBTC,2/14/2020,11
imBTC,2/14/2020,1.44
imBTC,2/14/2020,-0.015
imBTC,2/14/2020,1.71737
imBTC,2/14/2020,15
imBTC,2/14/2020,0.19865935
imBTC,2/14/2020,1.819
imBTC,2/14/2020,4.999
imBTC,2/14/2020,0.625
imBTC,2/14/2020,-0.02268437
imBTC,2/14/2020,2.03279
imBTC,2/14/2020,-20.01482099
imBTC,2/15/2020,-3.65828927
imBTC,2/15/2020,0.65
imBTC,2/15/2020,9.540416
imBTC,2/15/2020,4.57
imBTC,2/16/2020,0.0799436
imBTC,2/16/2020,2
imBTC,2/16/2020,2
imBTC,2/16/2020,-0.03105002
imBTC,2/16/2020,2
imBTC,2/16/2020,0.0204712
imBTC,2/16/2020,4.9999568
imBTC,2/16/2020,4.979899
imBTC,2/16/2020,0.9999568
imBTC,2/17/2020,0.1428215
imBTC,2/17/2020,-0.21206155
imBTC,2/17/2020,1
imBTC,2/17/2020,0.09767268
imBTC,2/17/2020,4
imBTC,2/17/2020,1.5498618
imBTC,2/18/2020,-4.228154
imBTC,2/18/2020,9.9996
imBTC,2/18/2020,-1.00813902
imBTC,2/18/2020,0.2810712
imBTC,2/18/2020,0.02045273
imBTC,2/18/2020,-0.51467852
imBTC,2/18/2020,6.9995
imBTC,2/19/2020,-0.13901374
imBTC,2/19/2020,0.12189567
imBTC,2/19/2020,-0.14
imBTC,2/20/2020,-0.03107378
imBTC,2/20/2020,-12
imBTC,2/20/2020,1
imBTC,2/20/2020,0.145635
imBTC,2/20/2020,2
imBTC,2/20/2020,2
imBTC,2/20/2020,4
imBTC,2/20/2020,1
imBTC,2/20/2020,5.9999436
imBTC,2/20/2020,0.2299
imBTC,2/20/2020,0.136
imBTC,2/20/2020,0.16
imBTC,2/20/2020,-0.61546468
imBTC,2/20/2020,0.43
imBTC,2/21/2020,1.9994
imBTC,2/21/2020,0.049964
imBTC,2/21/2020,1.9989676
imBTC,2/21/2020,1.03626907
imBTC,2/21/2020,0.5002
imBTC,2/21/2020,-0.10035621
imBTC,2/21/2020,2
imBTC,2/21/2020,0.56
imBTC,2/22/2020,0.8
imBTC,2/22/2020,1.46835581
imBTC,2/22/2020,0.5
imBTC,2/22/2020,-0.37275389
imBTC,2/22/2020,0.5
imBTC,2/22/2020,0.998
imBTC,2/23/2020,1
imBTC,2/23/2020,0.5
imBTC,2/23/2020,-0.2
imBTC,2/23/2020,1.5
imBTC,2/24/2020,0.03833878
imBTC,2/24/2020,-8
imBTC,2/24/2020,-0.04070002
imBTC,2/24/2020,-0.07180273
imBTC,2/24/2020,0.1
imBTC,2/24/2020,0.3
imBTC,2/24/2020,1.5999676
imBTC,2/24/2020,-0.01
imBTC,2/24/2020,2
imBTC,2/25/2020,6.9995
imBTC,2/25/2020,0.012
imBTC,2/25/2020,0.02243289
imBTC,2/25/2020,0.02861015
imBTC,2/25/2020,2
imBTC,2/25/2020,-0.08625754
imBTC,2/25/2020,4.9999112
imBTC,2/26/2020,2
imBTC,2/26/2020,-0.01043883
imBTC,2/26/2020,2
imBTC,2/26/2020,0.1
imBTC,2/26/2020,0.4276
imBTC,2/26/2020,2.988
imBTC,2/26/2020,0.1
imBTC,2/26/2020,2.516
imBTC,2/26/2020,2.46692
imBTC,2/26/2020,2
imBTC,2/27/2020,3
imBTC,2/27/2020,-0.01572448
imBTC,2/27/2020,1
imBTC,2/27/2020,1.8994
imBTC,2/27/2020,2
imBTC,2/27/2020,5.3714
imBTC,2/27/2020,5.413
imBTC,2/27/2020,0.895
imBTC,2/27/2020,-16
imBTC,2/27/2020,0.15
imBTC,2/28/2020,0.0395442
imBTC,2/28/2020,1.25071302
imBTC,2/28/2020,0.01328849
imBTC,2/28/2020,2
imBTC,2/28/2020,6
imBTC,2/28/2020,0.998
imBTC,2/28/2020,2
imBTC,2/28/2020,0.01
imBTC,2/29/2020,2
imBTC,2/29/2020,-10
imBTC,2/29/2020,5.9999856
imBTC,2/29/2020,0.4
imBTC,2/29/2020,0.2
imBTC,3/1/2020,0.06726894
imBTC,3/1/2020,0.2
imBTC,3/1/2020,-0.036
imBTC,3/1/2020,4
imBTC,3/1/2020,0.49
imBTC,3/1/2020,0.5
imBTC,3/2/2020,0.999982
imBTC,3/2/2020,0.03
imBTC,3/2/2020,0.01
imBTC,3/2/2020,-0.17
imBTC,3/2/2020,7.642928
imBTC,3/3/2020,-10
imBTC,3/3/2020,4.87
imBTC,3/3/2020,0.1
imBTC,3/3/2020,40
imBTC,3/4/2020,9.9999748
imBTC,3/4/2020,2
imBTC,3/4/2020,0.4
imBTC,3/4/2020,-0.4713
imBTC,3/5/2020,9.9995694
imBTC,3/5/2020,-0.1574
imBTC,3/5/2020,25.45951
imBTC,3/5/2020,2
imBTC,3/5/2020,0.01
imBTC,3/5/2020,1.98669869
imBTC,3/5/2020,0.2833022
imBTC,3/6/2020,3
imBTC,3/6/2020,-0.28330517
imBTC,3/6/2020,0.39037446
imBTC,3/7/2020,-0.97
imBTC,3/7/2020,3
imBTC,3/7/2020,-0.98
imBTC,3/7/2020,-0.99
imBTC,3/7/2020,0.1
